response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int
0,1,-1,1,,1,2,0.5331489507247555,0.4668510492752828
0,-1,1,0,3.0,1,-1,0.38388998246461903,0.6161100175353903
0,-1,-1,1,,1,0,0.3262132136072179,0.6737867863927935
0,-1,-1,0,,1,-1,0.27665587891851806,0.7233441210815256
0,-1,1,0,3.0,1,-1,0.23397537479267252,0.7660246252072924
0,-1,-1,1,,1,0,0.2243359258546245,0.7756640741453501
0,-1,1,0,0.0,1,-1,0.21763396214722386,0.7823660378528025
0,-1,-1,1,,1,0,0.2356648699146912,0.7643351300853103
0,-1,1,0,-2.0,1,-1,0.2574862572350271,0.7425137427649556
0,-1,-1,1,,1,0,0.32430193382522815,0.675698066174771
0,-1,-1,0,,1,-1,0.40158187278978125,0.5984181272101761
0,-1,1,0,-1.0,1,-1,0.49126379598997205,0.5087362040100075
1,-1,2,1,-10.0,1,0,0.7172293419212499,0.2827706580787033
0,1,1,2,-2.0,1,3,0.872446109395349,0.1275538906046236
1,-1,1,1,1.0,1,0,0.9271605493865351,0.07283945061350199
0,1,1,1,-1.0,1,2,0.9546469993172227,0.04535300068281691
1,-1,1,1,-1.0,1,0,0.9619432817434123,0.03805671825664412
1,1,1,1,-2.0,1,2,0.9622198210667543,0.037780178933271305
1,1,1,1,-2.0,1,2,0.9664105008785894,0.03358949912142919
1,1,2,1,-10.0,1,2,0.9746203985378401,0.02537960146218479
0,1,1,2,-1.0,1,3,0.9853167278944595,0.01468327210555295
1,-1,1,1,2.0,1,0,0.9875887161185247,0.012411283881498801
0,1,1,1,-2.0,1,2,0.9869477350186517,0.01305226498137998
0,-1,1,1,-1.0,1,0,0.9794759442577355,0.020524055742256478
1,-1,1,1,-3.0,1,0,0.983069521083627,0.01693047891634568
1,1,2,1,10.0,1,2,0.9828228455037021,0.017177154496354836
1,1,1,2,-3.0,1,3,0.9849568708104308,0.01504312918958724
0,1,-1,1,,1,2,0.9905420555407259,0.00945794445928009
1,-1,1,0,-3.0,1,-1,0.9931558170589331,0.006844182941021271
0,1,-1,1,,1,2,0.9940342374712313,0.0059657625288029445
1,-1,1,0,1.0,1,-1,0.9935927333123259,0.006407266687679031
1,1,1,1,-1.0,1,2,0.9916225114745698,0.008377488525476406
0,1,-1,1,,1,2,0.9927180912489262,0.007281908751068523
0,-1,-1,0,,1,-1,0.9921212207655601,0.007878779234471799
1,-1,1,0,-2.0,1,-1,0.9945742987898305,0.005425701210167134
0,1,1,1,3.0,1,2,0.995682407726458,0.00431759227354969
1,-1,1,1,0.0,1,0,0.9942940971726184,0.0057059028273853075
1,1,2,1,10.0,1,2,0.9913980245848784,0.008601975415149638
1,1,1,2,0.0,1,3,0.9908595815843686,0.009140418415583888
0,1,-1,1,,1,2,0.9934313973976616,0.006568602602313146
1,-1,1,0,2.0,1,-1,0.994342770459002,0.00565722954103184
0,1,-1,1,,1,2,0.9940247010432115,0.005975298956819334
0,-1,-1,0,,1,-1,0.9923267699516084,0.007673230048433947
1,-1,2,0,-10.0,1,-1,0.9936587216703305,0.006341278329714933
0,1,-1,2,,1,3,0.9951193944602373,0.00488060553971868
1,-1,1,0,0.0,1,-1,0.9955441272833632,0.004455872716673876
0,1,1,1,0.0,1,2,0.9951337818625494,0.00486621813745111
1,-1,1,1,0.0,1,0,0.9916006739917466,0.008399326008211241
1,1,2,1,10.0,1,2,0.9849414005306998,0.015058599469352129
1,1,1,2,-1.0,1,3,0.9807002346117794,0.01929976538827681
1,1,1,1,2.0,1,2,0.9799662169971934,0.020033783002767983
0,1,-1,1,,1,2,0.9827209428850993,0.0172790571148703
0,-1,-1,0,,1,-1,0.9816484225504272,0.01835157744960629
1,-1,1,0,-3.0,1,-1,0.9840111713174055,0.015988828682567797
0,1,-1,1,,1,2,0.9827882040116477,0.01721179598837849
0,-1,-1,0,,1,-1,0.9774011633527355,0.022598836647291214
0,-1,-1,0,,1,-1,0.9756539455767582,0.024346054423250545
1,-1,2,0,-10.0,1,-1,0.977502740839596,0.022497259160395168
1,1,1,2,-3.0,1,3,0.9777147062677254,0.02228529373230724
0,1,-1,1,,1,2,0.981498053998662,0.01850194600138805
0,-1,-1,0,,1,-1,0.9811696225530058,0.018830377447014563
0,-1,-1,0,,1,-1,0.9843027476061044,0.01569725239391866
1,-1,-1,0,,1,-1,0.9909759893248584,0.009024010675117548
0,1,-1,0,,1,1,0.9921126632534736,0.0078873367465711
1,-1,2,0,10.0,1,-1,0.9913982271570673,0.00860177284297823
0,1,-1,2,,1,3,0.9905224381938658,0.009477561806186533
0,-1,-1,0,,1,-1,0.9872019972604476,0.012798002739520338
0,-1,-1,0,,1,-1,0.9871557789099938,0.012844221089953997
1,-1,1,0,-2.0,1,-1,0.9903826242607894,0.009617375739200604
0,1,-1,1,,1,2,0.9911518497504145,0.00884815024953275
1,-1,1,0,-3.0,1,-1,0.9898272322028714,0.010172767797160186
0,1,-1,1,,1,2,0.9857823426049807,0.014217657395015241
0,-1,-1,0,,1,-1,0.9771042996103807,0.022895700389672008
1,-1,2,0,10.0,1,-1,0.9722804221582526,0.027719577841798054
0,1,-1,2,,1,3,0.9648293848328146,0.035170615167208596
0,-1,-1,0,,1,-1,0.9479173777756391,0.05208262222439091
0,-1,1,0,0.0,1,-1,0.9359675359044025,0.06403246409556677
1,-1,1,1,0.0,1,0,0.9413666759231375,0.05863332407684269
1,1,1,1,2.0,1,2,0.937979839801268,0.06202016019875435
0,1,-1,1,,1,2,0.9388625984601932,0.06113740153980676
0,-1,-1,0,,1,-1,0.9304906188666052,0.06950938113334257
0,-1,-1,0,,1,-1,0.9266263034146566,0.0733736965853544
0,-1,-1,0,,1,-1,0.9271727580249579,0.07282724197506145
1,-1,2,0,-10.0,1,-1,0.9321436845334539,0.0678563154665306
0,1,-1,2,,1,3,0.9326094876771642,0.06739051232277904
0,-1,1,0,-1.0,1,-1,0.9231891433260191,0.07681085667399992
0,-1,-1,1,,1,0,0.9321437061696409,0.06785629383034159
0,-1,-1,0,,1,-1,0.9459318655401167,0.054068134459884905
1,-1,1,0,1.0,1,-1,0.9648993465789625,0.035100653421072874
0,1,-1,1,,1,2,0.9736449543586855,0.026355045641318554
1,-1,1,0,-3.0,1,-1,0.9763046015122513,0.023695398487745094
0,1,1,1,-2.0,1,2,0.9741360700644734,0.02586392993554299
0,-1,-1,1,,1,0,0.9604447096827058,0.039555290317306355
0,-1,-1,0,,1,-1,0.9512872309025056,0.04871276909753899
0,-1,-1,0,,1,-1,0.9464340185472405,0.05356598145277393
0,-1,1,0,-2.0,1,-1,0.945763382877069,0.054236617122979704
1,-1,1,1,-2.0,1,0,0.9626779917626873,0.03732200823730257
0,1,-1,1,,1,2,0.9699756760193597,0.03002432398062696
0,-1,-1,0,,1,-1,0.9711076062538216,0.028892393746185466
1,-1,1,0,2.0,1,-1,0.9760004463772609,0.023999553622725288
1,1,1,1,-3.0,1,2,0.9758553666282334,0.024144633371726964
0,1,1,1,1.0,1,2,0.9793202736900608,0.020679726309951966
0,-1,-1,1,,1,0,0.9746987555021721,0.025301244497843645
0,-1,-1,0,,1,-1,0.9737488675575631,0.026251132442431154
0,-1,-1,0,,1,-1,0.9764467923085671,0.023553207691465003
1,-1,1,0,-2.0,1,-1,0.982860177683341,0.017139822316637063
1,1,1,1,-1.0,1,2,0.9848953465716452,0.01510465342830099
0,1,-1,1,,1,2,0.9903774111784439,0.009622588821558564
1,-1,2,0,10.0,1,-1,0.992888481838991,0.007111518161045858
0,1,1,2,-2.0,1,3,0.9952858473542987,0.0047141526456957955
1,-1,1,1,0.0,1,0,0.9948865367679613,0.005113463232002423
0,1,-1,1,,1,2,0.9933753709491466,0.006624629050896035
0,-1,-1,0,,1,-1,0.9900376997602873,0.009962300239691416
1,-1,1,0,-1.0,1,-1,0.98986737580761,0.010132624192363158
0,1,-1,1,,1,2,0.9872138514606109,0.012786148539435304
1,-1,1,0,0.0,1,-1,0.9808222402497585,0.01917775975021498
1,1,1,1,-3.0,1,2,0.9676698653965956,0.032330134603358596
1,1,1,1,1.0,1,2,0.9589101999556771,0.04108980004432226
0,1,-1,1,,1,2,0.9543236035460484,0.045676396453907094
0,-1,-1,0,,1,-1,0.9405184667624409,0.05948153323752915
1,-1,2,0,10.0,1,-1,0.9314710403502491,0.06852895964969895
1,1,1,2,3.0,1,3,0.9165680187163913,0.08343198128361021
0,1,-1,1,,1,2,0.9067089693014283,0.09329103069860552
0,-1,-1,0,,1,-1,0.8811050628523656,0.11889493714765284
0,-1,1,0,-2.0,1,-1,0.8616724345602342,0.13832756543973065
0,-1,-1,1,,1,0,0.8661360481298785,0.13386395187012345
0,-1,-1,0,,1,-1,0.8756438723645805,0.12435612763546
0,-1,-1,0,,1,-1,0.8904343070238667,0.10956569297612094
0,-1,-1,0,,1,-1,0.9108782083606403,0.08912179163933713
1,-1,1,0,3.0,1,-1,0.9374881879928404,0.06251181200718503
1,1,2,1,-10.0,1,2,0.9493857750517096,0.05061422494826874
0,1,1,2,-3.0,1,3,0.9638036094627942,0.03619639053720584
0,-1,-1,1,,1,0,0.9649912985922857,0.03500870140766244
0,-1,-1,0,,1,-1,0.9700681099341382,0.029931890065824907
1,-1,1,0,3.0,1,-1,0.979161339762775,0.020838660237203776
0,1,-1,1,,1,2,0.9826905584998785,0.017309441500085548
1,-1,1,0,-1.0,1,-1,0.98232477997814,0.01767522002185281
1,1,1,1,0.0,1,2,0.9778910227366913,0.022108977263272298
1,1,2,1,-10.0,1,2,0.9770451265589866,0.02295487344099044
1,1,1,2,-2.0,1,3,0.9785878797586558,0.02141212024137619
0,1,-1,1,,1,2,0.9837301109035719,0.016269889096377964
